gcid                 end                  start                valid                duration             blocknum            
98                   23475580000.0        23470360000.0        0.0078125            5220000.0            305                 
99                   23476020000.0        23474080000.0        0.0078125            1940000.0            700                 
100                  23477080000.0        23470360000.0        0.0078125            6720000.0            342                 
101                  23477960000.0        23475580000.0        0.0078125            2380000.0            704                 
102                  23478580000.0        23470360000.0        0.0078125            8220000.0            345                 
103                  23479460000.0        23476020000.0        0.0078125            3440000.0            743                 
104                  23480080000.0        23470360000.0        0.0078125            9720000.0            363                 
105                  23481460000.0        23478580000.0        0.0078125            2880000.0            792                 
106                  23481580000.0        23470360000.0        0.0078125            11220000.0           403                 
107                  23482960000.0        23477960000.0        0.0078125            5000000.0            766                 
108                  23483080000.0        23470360000.0        0.0078125            12720000.0           440                 
109                  23484460000.0        23479460000.0        0.0078125            5000000.0            812                 
110                  23485020000.0        23472580000.0        0.0078125            12440000.0           463                 
111                  23486180000.0        23477080000.0        0.0078125            9100000.0            747                 
112                  23488160000.0        23486180000.0        0.0078125            1980000.0            1186                
113                  23488320000.0        23486180000.0        0.0078125            2140000.0            880                 
114                  23489660000.0        23486180000.0        0.0078125            3480000.0            1188                
115                  23489820000.0        23486180000.0        0.0078125            3640000.0            908                 
116                  23491320000.0        23486180000.0        0.0078125            5140000.0            930                 
117                  23491660000.0        23488320000.0        0.0078125            3340000.0            1384                
118                  23492820000.0        23486180000.0        0.0078125            6640000.0            956                 
119                  23493160000.0        23488160000.0        0.0078125            5000000.0            1279                
120                  23494320000.0        23486180000.0        0.0078125            8140000.0            972                 
121                  23494660000.0        23489660000.0        0.0078125            5000000.0            1402                
122                  23495100000.0        23493160000.0        0.0078125            1940000.0            1723                
123                  23495820000.0        23486180000.0        0.0078125            9640000.0            973                 
124                  23496620000.0        23491320000.0        0.0078125            5300000.0            1456                
125                  23497720000.0        23492820000.0        0.0078125            4900000.0            1693                
126                  23498120000.0        23491660000.0        0.0078125            6460000.0            1479                
127                  23499620000.0        23489820000.0        0.0078125            9800000.0            1419                
128                  23501840000.0        23499620000.0        0.0078125            2220000.0            1766                
129                  23503340000.0        23499620000.0        0.0078125            3720000.0            1862                
130                  23504840000.0        23499620000.0        0.0078125            5220000.0            1919                
131                  23506340000.0        23499620000.0        0.0078125            6720000.0            1920                
132                  23507840000.0        23499620000.0        0.0078125            8220000.0            1923                
133                  23508280000.0        23506340000.0        0.0078125            1940000.0            2280                
134                  23509340000.0        23499620000.0        0.0078125            9720000.0            1809                
135                  23510220000.0        23507840000.0        0.0078125            2380000.0            2281                
136                  23510840000.0        23499620000.0        0.0078125            11220000.0           1820                
137                  23511720000.0        23508280000.0        0.0078125            3440000.0            2283                
138                  23512340000.0        23499620000.0        0.0078125            12720000.0           1937                
139                  23513660000.0        23509340000.0        0.0078125            4320000.0            2318                
140                  23514500000.0        23501840000.0        0.0078125            12660000.0           1964                
141                  23515160000.0        23504840000.0        0.0078125            10320000.0           2221                
142                  23516000000.0        23503340000.0        0.0078125            12660000.0           1968                
143                  23516880000.0        23510220000.0        0.0078125            6660000.0            2319                
144                  23518980000.0        23516880000.0        0.0078125            2100000.0            2735                
145                  23519060000.0        23516880000.0        0.0078125            2180000.0            2321                
146                  23520560000.0        23516880000.0        0.0078125            3680000.0            2414                
147                  23521000000.0        23519060000.0        0.0078125            1940000.0            2833                
148                  23522060000.0        23516880000.0        0.0078125            5180000.0            2466                
149                  23522940000.0        23520560000.0        0.0078125            2380000.0            2882                
150                  23523560000.0        23516880000.0        0.0078125            6680000.0            2500                
151                  23524440000.0        23521000000.0        0.0078125            3440000.0            2909                
152                  23525060000.0        23516880000.0        0.0078125            8180000.0            2355                
153                  23525500000.0        23523560000.0        0.0078125            1940000.0            3234                
154                  23526560000.0        23516880000.0        0.0078125            9680000.0            2364                
155                  23527220000.0        23522940000.0        0.0078125            4280000.0            3024                
156                  23527440000.0        23524440000.0        0.0078125            3000000.0            3241                
157                  23528060000.0        23516880000.0        0.0078125            11180000.0           2518                
158                  23529760000.0        23518980000.0        0.0078125            10780000.0           2791                
159                  23531480000.0        23522060000.0        0.0078125            9420000.0            3011                
160                  23533520000.0        23531480000.0        0.0078125            2040000.0            3280                
161                  23533580000.0        23531480000.0        0.0078125            2100000.0            3743                
162                  23535020000.0        23531480000.0        0.0078125            3540000.0            3332                
163                  23535080000.0        23531480000.0        0.0078125            3600000.0            3757                
164                  23536520000.0        23531480000.0        0.0078125            5040000.0            3454                
165                  23536580000.0        23531480000.0        0.0078125            5100000.0            3774                
166                  23538080000.0        23531480000.0        0.0078125            6600000.0            3818                
167                  23539580000.0        23531480000.0        0.0078125            8100000.0            3870                
168                  23541760000.0        23533520000.0        0.0078125            8240000.0            3875                
169                  23541960000.0        23539580000.0        0.01171875           2380000.0            173                 
170                  23543260000.0        23533580000.0        0.0078125            9680000.0            3899                
171                  23544760000.0        23535020000.0        0.0078125            9740000.0            3925                
172                  23546260000.0        23535080000.0        0.0078125            11180000.0           3928                
173                  23547760000.0        23536520000.0        0.0078125            11240000.0           3937                
174                  23549260000.0        23536580000.0        0.0078125            12680000.0           3975                
175                  23550760000.0        23538080000.0        0.0078125            12680000.0           4019                
176                  23553340000.0        23550760000.0        0.01171875           2580000.0            240                 
177                  23554840000.0        23550760000.0        0.01171875           4080000.0            286                 
178                  23556340000.0        23550760000.0        0.01171875           5580000.0            319                 
179                  23557840000.0        23550760000.0        0.01171875           7080000.0            325                 
180                  23559340000.0        23550760000.0        0.01171875           8580000.0            331                 
181                  23560000000.0        23557840000.0        0.01171875           2160000.0            731                 
182                  23560840000.0        23550760000.0        0.01171875           10080000.0           360                 
183                  23562180000.0        23560000000.0        0.01171875           2180000.0            829                 
184                  23562340000.0        23550760000.0        0.01171875           11580000.0           337                 
185                  23563840000.0        23550760000.0        0.01171875           13080000.0           362                 
186                  23564340000.0        23560840000.0        0.01171875           3500000.0            857                 
187                  23566060000.0        23562180000.0        0.01171875           3880000.0            859                 
188                  23566280000.0        23554840000.0        0.01171875           11440000.0           405                 
189                  23567760000.0        23559340000.0        0.01171875           8420000.0            771                 
190                  23567800000.0        23556340000.0        0.01171875           11460000.0           444                 
191                  23569300000.0        23553340000.0        0.01171875           15960000.0           366                 
192                  23571800000.0        23569300000.0        0.01171875           2500000.0            917                 
193                  23571820000.0        23569300000.0        0.01171875           2520000.0            1210                
194                  23573320000.0        23569300000.0        0.01171875           4020000.0            1276                
195                  23573980000.0        23571800000.0        0.01171875           2180000.0            1749                
196                  23574820000.0        23569300000.0        0.01171875           5520000.0            1318                
197                  23575480000.0        23571820000.0        0.01171875           3660000.0            1770                
198                  23576320000.0        23569300000.0        0.01171875           7020000.0            1360                
199                  23577700000.0        23573320000.0        0.01171875           4380000.0            1823                
200                  23577820000.0        23569300000.0        0.01171875           8520000.0            1383                
201                  23579200000.0        23574820000.0        0.01171875           4380000.0            1933                
