gcid                 blocknum             valid                start                end                  duration            
0                    158                  0.0                  23421060000          23423160000.0        2100000.0           
1                    3851                 0.0                  23421060000          23423560000.0        2500000.0           
2                    674                  0.0                  23421060000          23423560000.0        2500000.0           
3                    2222                 0.0                  23421060000          23423560000.0        2500000.0           
4                    1727                 0.0                  23421060000          23423960000.0        2900000.0           
5                    3226                 0.0                  23421060000          23423960000.0        2900000.0           
6                    2877                 0.0                  23421060000          23424160000.0        3100000.0           
7                    1244                 0.0                  23421060000          23424360000.0        3300000.0           
8                    203                  0.0                  23423160000.0        23424660000.0        1500000.0           
9                    688                  0.0                  23423560000.0        23425060000.0        1500000.0           
10                   1741                 0.0                  23423560000.0        23425460000.0        1900000.0           
11                   2235                 0.0                  23423960000.0        23425460000.0        1500000.0           
12                   2892                 0.0                  23423960000.0        23425660000.0        1700000.0           
13                   3262                 0.0                  23424160000.0        23425660000.0        1500000.0           
14                   1362                 0.0                  23423560000.0        23425860000.0        2300000.0           
15                   3972                 0.0                  23424360000.0        23425860000.0        1500000.0           
16                   236                  0.0                  23425860000.0        23427360000.0        1500000.0           
17                   748                  0.0                  23425860000.0        23427360000.0        1500000.0           
18                   1449                 0.0                  23425860000.0        23427360000.0        1500000.0           
19                   1775                 0.0                  23425860000.0        23427360000.0        1500000.0           
20                   2298                 0.0                  23425860000.0        23427360000.0        1500000.0           
21                   2896                 0.0                  23425860000.0        23427360000.0        1500000.0           
22                   3292                 0.0                  23425860000.0        23427360000.0        1500000.0           
23                   3981                 0.0                  23425860000.0        23427360000.0        1500000.0           
24                   254                  0.0                  23427360000.0        23428860000.0        1500000.0           
25                   764                  0.0                  23427360000.0        23428860000.0        1500000.0           
26                   1453                 0.0                  23427360000.0        23428860000.0        1500000.0           
27                   1790                 0.0                  23427360000.0        23428860000.0        1500000.0           
28                   2302                 0.0                  23427360000.0        23428860000.0        1500000.0           
29                   2985                 0.0                  23427360000.0        23428860000.0        1500000.0           
30                   3425                 0.0                  23427360000.0        23428860000.0        1500000.0           
31                   4009                 0.0                  23427360000.0        23428860000.0        1500000.0           
32                   256                  0.0                  23428860000.0        23430360000.0        1500000.0           
33                   815                  0.0                  23428860000.0        23430360000.0        1500000.0           
34                   1867                 0.0                  23428860000.0        23430360000.0        1500000.0           
35                   2458                 0.0                  23428860000.0        23430360000.0        1500000.0           
36                   3393                 0.0                  23428860000.0        23430360000.0        1500000.0           
37                   4027                 0.0                  23428860000.0        23430360000.0        1500000.0           
38                   330                  0.0                  23430360000.0        23431860000.0        1500000.0           
39                   831                  0.0                  23430360000.0        23431860000.0        1500000.0           
40                   1885                 0.0                  23430360000.0        23432060000.0        1700000.0           
41                   2402                 0.0                  23430360000.0        23432060000.0        1700000.0           
42                   1198                 0.00390625           23428860000.0        23432060000.0        3200000.0           
43                   2766                 0.00390625           23428860000.0        23432080000.0        3220000.0           
44                   3497                 0.0                  23431860000.0        23433360000.0        1500000.0           
45                   4038                 0.0                  23431860000.0        23433360000.0        1500000.0           
46                   1399                 0.00390625           23430360000.0        23433560000.0        3200000.0           
47                   2851                 0.00390625           23430360000.0        23433580000.0        3220000.0           
48                   332                  0.0                  23433580000.0        23435080000.0        1500000.0           
49                   822                  0.0                  23433580000.0        23435080000.0        1500000.0           
50                   1888                 0.0                  23433580000.0        23435080000.0        1500000.0           
51                   2473                 0.0                  23433580000.0        23435080000.0        1500000.0           
52                   3526                 0.0                  23433580000.0        23435080000.0        1500000.0           
53                   1421                 0.00390625           23433580000.0        23435300000.0        1720000.0           
54                   1901                 0.0                  23435080000.0        23436580000.0        1500000.0           
55                   2504                 0.0                  23435080000.0        23436580000.0        1500000.0           
56                   408                  0.0                  23435080000.0        23436780000.0        1700000.0           
57                   863                  0.0                  23435080000.0        23436780000.0        1700000.0           
58                   2865                 0.00390625           23433580000.0        23436780000.0        3200000.0           
59                   3803                 0.00390625           23433580000.0        23436780000.0        3200000.0           
60                   1186                 0.0078125            23435080000.0        23438280000.0        3200000.0           
61                   3375                 0.00390625           23436580000.0        23438500000.0        1920000.0           
62                   2920                 0.00390625           23435300000.0        23438500000.0        3200000.0           
63                   3855                 0.00390625           23436580000.0        23438500000.0        1920000.0           
64                   425                  0.0                  23438500000.0        23440000000.0        1500000.0           
65                   937                  0.0                  23438500000.0        23440000000.0        1500000.0           
66                   1961                 0.0                  23438500000.0        23440000000.0        1500000.0           
67                   2510                 0.0                  23438500000.0        23440000000.0        1500000.0           
